Adv. Campaign,Clicks,Time
Omio.com-CPS- WW,7834,B-Feb'23
PDF Filler- CPS- WW,8735,B-Feb'23
Saks Fifth Avenue - CPS - US,1367,B-Feb'23
Sam's Club CPS-US,1330,B-Feb'23
Tailor Brands CPS -WW,5598,B-Feb'23
Tatacliq.com -CPS-India,1746,B-Feb'23
TutorialsPoint - CPS - WW,3054,B-Feb'23
Wolt CPS FI/DK/SE/DE/NO/PL,2155,B-Feb'23
Carter's CPS-WW,1844,C-Mar'23
Envato Placeit CPS-WW,5428,C-Mar'23
Redbubble CPS- WW,6065,C-Mar'23
Adobe,8407,C-Mar'23
Ajio,2287,C-Mar'23
Apollo247 Pharmacy Web-CPS-IN,1270,C-Mar'23
Croma - CPS - IN,5675,C-Mar'23
Hulu CPS-US,2196,C-Mar'23
Kiwi.com-CPS- WW (Direct),25530,C-Mar'23
Lufthansa CPS-FR,1212,C-Mar'23
Mango CPS- FR/DE,13034,C-Mar'23
Muscleblaze - CPS - IN,1628,C-Mar'23
Myntra,64932,C-Mar'23
"NA-KD CPS- DK, SE, NO, FI",7224,C-Mar'23
Omio.com-CPS- WW,9597,C-Mar'23
PDF Filler- CPS- WW,9851,C-Mar'23
Saks Fifth Avenue - CPS - US,1329,C-Mar'23
Sam's Club CPS-US,1629,C-Mar'23
Tailor Brands CPS -WW,12577,C-Mar'23
TutorialsPoint - CPS - WW,3221,C-Mar'23
Wolt CPS FI/DK/SE/DE/NO/PL,2317,C-Mar'23
Carter's CPS-WW,3074,D-Apr'23
Envato Placeit CPS-WW,5147,D-Apr'23
Redbubble CPS- WW,5423,D-Apr'23
Hulu CPS-US,1829,D-Apr'23
Kiwi.com-CPS- WW (Direct),28257,D-Apr'23
Mango CPS- FR/DE,15475,D-Apr'23
Myntra,31022,D-Apr'23
"NA-KD CPS- DK, SE, NO, FI",7665,D-Apr'23
Omio.com-CPS- WW,4808,D-Apr'23
PDF Filler- CPS- WW,7080,D-Apr'23
Saks Fifth Avenue - CPS - US,1766,D-Apr'23
Sam's Club CPS-US,1433,D-Apr'23
Wolt CPS FI/DK/SE/DE/NO/PL,2497,D-Apr'23
Redbubble CPS- WW,3977,E-May'23
Hulu CPS-US,1286,E-May'23
Kiwi.com-CPS- WW (Direct),21610,E-May'23
Mango CPS- FR/DE,12237,E-May'23
Myntra,1362,E-May'23
"NA-KD CPS- DK, SE, NO, FI",6086,E-May'23
PDF Filler- CPS- WW,6659,E-May'23
Saks Fifth Avenue - CPS - US,1441,E-May'23
Sam's Club CPS-US,1292,E-May'23
Wolt CPS FI/DK/SE/DE/NO/PL,2157,E-May'23
Redbubble CPS- WW,5647,F-Jun'23
Hulu CPS-US,1407,F-Jun'23
Kiwi.com-CPS- WW (Direct),20177,F-Jun'23
Mango CPS- FR/DE,12336,F-Jun'23
"NA-KD CPS- DK, SE, NO, FI",4886,F-Jun'23
PDF Filler- CPS- WW,4317,F-Jun'23
Saks Fifth Avenue - CPS - US,1177,F-Jun'23
Wolt CPS FI/DK/SE/DE/NO/PL,2082,F-Jun'23
Stubhub CPS- North America,1436,A-Jan'23
Hulu CPS-US,1419,B-Feb'23
Stubhub CPS- North America,2286,B-Feb'23
Croma - CPS - IN,1461,C-Mar'23
Hulu CPS-US,1424,C-Mar'23
Stubhub CPS- North America,2950,C-Mar'23
Tailor Brands CPS -WW,1272,C-Mar'23
Apollo247 Pharmacy Web-CPS-IN,1219,D-Apr'23
Hulu CPS-US,1289,D-Apr'23
Myntra,62380,D-Apr'23
PDF Filler- CPS- WW,1096,D-Apr'23
Stubhub CPS- North America,3045,D-Apr'23
Envato Placeit CPS-WW,1568,E-May'23
Apollo247 Pharmacy Web-CPS-IN,1324,E-May'23
Hulu CPS-US,1377,E-May'23
Myntra,5715,E-May'23
PDF Filler- CPS- WW,1403,E-May'23
Apollo247 Pharmacy Web-CPS-IN,1333,F-Jun'23
Hulu CPS-US,1257,F-Jun'23
PDF Filler- CPS- WW,1281,F-Jun'23
Hulu CPS-US,35494,L-Dec'23
Hostgator.com-CPS-WW,1134,M-Jan'24
Hulu CPS-US,177536,M-Jan'24
Sky_Media CPS DE,6168,M-Jan'24
ExpressVPN,2369,A-Jan'23
ExpressVPN,2314,B-Feb'23
Udacity Affiliate Program,1490,B-Feb'23
ExpressVPN,1469,C-Mar'23
Udacity Affiliate Program,1167,C-Mar'23
Udacity Affiliate Program,1042,E-May'23
Udacity Affiliate Program,1040,F-Jun'23
"Chegg, Inc.",1560,G-Jul'23
"Chegg, Inc.",1522,H-Aug'23
"Chegg, Inc.",3625,I-Sept'23
"Chegg, Inc.",3986,J-Oct'23
"Chegg, Inc.",3082,K-Nov'23
"Chegg, Inc.",2143,L-Dec'23
"Chegg, Inc.",4325,A-Jan'23
