,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
184,184,1048987150,gpt-1071006848|course|5224172,16622,1048987150,22448,Udemy WW,Real Pricetracker,,,BR,573,Paid course,sale,5.81,pending,0,tabm,,,,,0.47,USD,,,0,,4/25/2024 21:24,4/25/2024 21:34,,4/29/2024 13:24,1245996290,21660,4/25/2024 21:34,5.81,0.47,8.09,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,1048114157,118461418,5273,1048114157,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,122,Existing Customer,sale,429,pending,0,gmg,,,,,9.1,INR,,,0,,4/25/2024 20:48,4/25/2024 20:50,,4/25/2024 22:41,1244579027,5792,4/25/2024 20:50,429,9.1,2.13,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,1048987081,gpt-1070930810|course|2878006,16622,1048987081,22448,Udemy WW,Real Pricetracker,,,SA,1639,Paid course,sale,16.99,pending,0,tabm,,,,,1.36,USD,,,0,,4/25/2024 18:03,4/25/2024 18:31,,4/29/2024 13:24,1245996223,21660,4/25/2024 18:31,16.99,1.36,8.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,1048986994,gpt-1070815632|course|2027448,16622,1048986994,22448,Udemy WW,Real Pricetracker,,,DE,57,Paid course,sale,13.9,pending,0,tabm,,,,,1.11,USD,,,0,,4/25/2024 14:30,4/25/2024 14:31,,4/29/2024 13:24,1245996137,21660,4/25/2024 14:31,13.9,1.11,7.99,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,1048987033,gpt-1070810936|course|2916558,16622,1048987033,22448,Udemy WW,Real Pricetracker,,,GB,627,Paid course,sale,16.18,pending,0,tabm,,,,,1.29,USD,,,0,,4/25/2024 14:18,4/25/2024 14:29,,4/29/2024 13:24,1245996174,21660,4/25/2024 14:29,16.18,1.29,7.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,1048987022,gpt-1070810936|course|2241936,16622,1048987022,22448,Udemy WW,Real Pricetracker,,,GB,627,Paid course,sale,16.18,pending,0,tabm,,,,,1.29,USD,,,0,,4/25/2024 14:18,4/25/2024 14:29,,4/29/2024 13:24,1245996163,21660,4/25/2024 14:29,16.18,1.29,7.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,1048987007,gpt-1070810936|course|1656228,16622,1048987007,22448,Udemy WW,Real Pricetracker,,,GB,627,Paid course,sale,16.18,pending,0,tabm,,,,,1.29,USD,,,0,,4/25/2024 14:18,4/25/2024 14:29,,4/29/2024 13:24,1245996151,21660,4/25/2024 14:29,16.18,1.29,7.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,1048026862,15962.5959.45130,28955,1048026862,30956,Pdffiller Many Geos,Real Pricetracker,,,CA,2553468,Sale,sale,161.28,pending,0,tabm,,,,,40,USD,,,0,,3/26/2024 23:39,4/25/2024 12:57,,4/25/2024 13:34,1244473426,63584,4/25/2024 12:57,161.28,40,40,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,1047902071,479617594,14275,1047902071,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,4,Conversion,sale,24.99,pending,0,tabm,,,,,3.57,USD,,,0,,4/25/2024 6:47,4/25/2024 6:48,,4/25/2024 7:23,1244224445,18508,4/25/2024 6:48,24.99,3.57,14.29,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,1048986945,gpt-1070665712|course|5444738,16622,1048986945,22448,Udemy WW,Real Pricetracker,,,BR,1379,Paid course,sale,4.84,pending,0,tabm,,,,,0.39,USD,,,0,,4/25/2024 5:10,4/25/2024 5:33,,4/29/2024 13:24,1245996090,21660,4/25/2024 5:33,4.84,0.39,8.06,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,1048986923,gpt-1070641118|course|5622548,16622,1048986923,22448,Udemy WW,Real Pricetracker,,,BR,1301,Paid course,sale,4.84,pending,0,,,,,,0.39,USD,,,0,,4/25/2024 3:11,4/25/2024 3:33,,4/29/2024 13:24,1245996069,21660,4/25/2024 3:33,4.84,0.39,8.06,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,1048751014,gpt-1070626304|course|3898634,16622,1048751014,22448,Udemy WW,Real Pricetracker,,,BR,-843,Paid course,sale,5.83,pending,0,tabm,,,,,0.47,USD,,,0,,4/25/2024 1:44,4/25/2024 1:30,,4/28/2024 13:23,1245622274,21660,4/25/2024 1:30,5.83,0.47,8.07,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,1047829942,15962.5958.530879,28955,1047829942,30956,Pdffiller Many Geos,Real Pricetracker,,,US,1785,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,4/24/2024 21:48,4/24/2024 22:18,,4/24/2024 22:33,1244147888,63584,4/24/2024 22:18,0,0,0,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,1048751089,gpt-1070505012|course|762616,16622,1048751089,22448,Udemy WW,Real Pricetracker,,,US,-889,Paid course,sale,22.99,pending,0,tabm,,,,,1.84,USD,,,0,,4/24/2024 19:45,4/24/2024 19:31,,4/28/2024 13:23,1245622349,21660,4/24/2024 19:31,22.99,1.84,8.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
