,Campaign_Name,Status,Payout,Currency,Date,Customer_city,Customer_Region,Customer_Country,Sub_Id
216,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Kansas City,Kansas,US,gmg
217,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,San Antonio,Texas,US,gmg
218,NordVPN,REVERSED,0.00,USD,2024-01-05,Caguas,n/a,PR,gmg
219,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Smithfield,North Carolina,US,gmg
220,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Syracuse,New York,US,gmg
221,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-07,New York,New York,US,gmg
222,Walmart Affiliate Program,APPROVED,0.75,USD,2024-01-06,Calhoun,Georgia,US,gmg
223,NordVPN,APPROVED,32.29,USD,2024-01-06,Roscoe,Illinois,US,gmg
224,Walmart Affiliate Program,APPROVED,0.96,USD,2024-01-07,Indiana,Pennsylvania,US,gmg
225,Walmart Affiliate Program,APPROVED,1.05,USD,2024-01-07,Montgomery,Alabama,US,gmg
226,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-06,Edmond,Oklahoma,US,gmg
227,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Portage,Indiana,US,gmg
228,Walmart Affiliate Program,APPROVED,6.60,USD,2024-01-07,The Bronx,New York,US,gmg
229,Walmart Affiliate Program,APPROVED,0.65,USD,2024-01-07,Denver,Colorado,US,gmg
230,Walmart Affiliate Program,APPROVED,0.40,USD,2024-01-06,Sherwood,Arkansas,US,gmg
231,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Murfreesboro,Tennessee,US,gmg
232,Walmart Affiliate Program,APPROVED,0.96,USD,2024-01-06,Oak Forest,Illinois,US,gmg
233,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Garden Grove,California,US,gmg
234,Walmart Affiliate Program,APPROVED,0.10,USD,2024-01-08,Sumter,South Carolina,US,gmg
235,NordVPN,APPROVED,35.38,USD,2024-01-06,Unna,North Rhine-Westphalia,DE,gmg
236,Walmart Affiliate Program,APPROVED,0.96,USD,2024-01-08,Culpeper,Virginia,US,gmg
237,DHgate,APPROVED,0.79,USD,2024-01-08,Grand Rapids,Michigan,US,gmg
238,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Ellenwood,Georgia,US,gmg
239,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Portage,Indiana,US,gmg
240,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-08,Safety Harbor,Florida,US,gmg
241,NordVPN,APPROVED,5.21,USD,2024-01-06,Singapore,n/a,SG,gmg
242,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-08,York,Pennsylvania,US,gmg
243,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-07,York,Pennsylvania,US,gmg
