Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id
hyyzo,Ajio,15398444,validated,2/1/2024,504,47.88,INR,TAEbf6MTYtqSLBvh2L0w
hyyzo,Ajio,15423481,rejected,2/2/2024,1793.98,102.26,INR,msd2Or1MH0nMN9M1mK7n
hyyzo,Ajio,15423584,validated,2/2/2024,1810,171.95,INR,s6U3INQp3icbWRd44s19
hyyzo,Ajio,15423829,rejected,2/2/2024,1837,104.71,INR,L9Nv1HBiBxR1a0D0WQj2
hyyzo,Ajio,15423967,validated,2/2/2024,1783,169.39,INR,VzGz5ybaz6Z0qRAl7WPA
hyyzo,Ajio,15424259,validated,2/2/2024,1781,169.2,INR,oxsZVxU0rLk9lUmEHR7J
hyyzo,Ajio,15424263,validated,2/2/2024,1825,173.38,INR,ZSAh72Vfpf9NPw1U0Bv9
hyyzo,Ajio,15425270,validated,2/2/2024,1769,168.06,INR,vJHUlwGrLBmP4M2DTMG4
hyyzo,Ajio,15425465,rejected,2/2/2024,1843.01,105.05,INR,xAUS8SHw1sl68LIL1BXb
hyyzo,Ajio,15425491,rejected,2/2/2024,1837.01,104.71,INR,5r0ObIVUz2kC4uzfvTAO
hyyzo,Ajio,15425590,rejected,2/2/2024,1827,104.14,INR,rANGQ6bPdCIgZbU9rQXA
hyyzo,Ajio,15425669,validated,2/2/2024,1768,167.96,INR,4uCe9qQO2Qejd4tG69Pu
hyyzo,Ajio,15798588,pending,3/1/2024,754.32,107.49,INR,Zh6ZmfIM8vXcSgIdnpb7
hyyzo,Ajio,15798589,pending,3/1/2024,519,73.96,INR,Zh6ZmfIM8vXcSgIdnpb7
hyyzo,Ajio,15798590,pending,3/1/2024,754.32,107.49,INR,Zh6ZmfIM8vXcSgIdnpb7
hyyzo,Ajio,15798591,pending,3/1/2024,1677.2,239,INR,Zh6ZmfIM8vXcSgIdnpb7
hyyzo,Ajio,15801020,pending,3/1/2024,449.46,64.05,INR,ORkrdsQvKOMGCz8Iou0w
hyyzo,Ajio,15801021,pending,3/1/2024,389.54,55.51,INR,ORkrdsQvKOMGCz8Iou0w
hyyzo,Ajio,15805275,pending,3/1/2024,2012.16,286.73,INR,y48S2E1GEPhbH87ZIzD2
hyyzo,Ajio,15805276,pending,3/1/2024,2013.78,286.96,INR,y48S2E1GEPhbH87ZIzD2
hyyzo,Ajio,15805498,pending,3/1/2024,175,24.94,INR,ci7EVzLmlHD9cQp3OT5i
