,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
22,22,1054268169,gpt-1079614568|course|657932,16622,1054268169,22448,Udemy WW,Real Pricetracker,,,US,1922,Paid course,sale,16.99,pending,0,tabm,,,,,1.36,USD,,,0,,2024-05-17 03:59:58,2024-05-17 04:32:00,,2024-05-21 13:23:22,1254673404,21660,2024-05-17 04:32:00,16.99,1.36,8.01,,True,,,,,,
23,23,1053974774,gpt-1079598574|course|2015076,16622,1053974774,22448,Udemy WW,Real Pricetracker,,,US,1003,Paid course,sale,11.99,pending,0,tabm,,,,,0.96,USD,,,0,,2024-05-17 02:17:17,2024-05-17 02:34:00,,2024-05-20 14:55:37,1254192982,21660,2024-05-17 02:34:00,11.99,0.96,8.01,,True,,,,,,
24,24,1053974770,gpt-1079598574|course|5754052,16622,1053974770,22448,Udemy WW,Real Pricetracker,,,US,1003,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,2024-05-17 02:17:17,2024-05-17 02:34:00,,2024-05-20 14:55:37,1254192978,21660,2024-05-17 02:34:00,9.99,0.80,8.01,,True,,,,,,
25,25,1053974766,gpt-1079581546|course|3427440,16622,1053974766,22448,Udemy WW,Real Pricetracker,,,BR,2238,Paid course,sale,4.85,pending,0,tabm,,,,,0.39,USD,,,0,,2024-05-17 00:57:42,2024-05-17 01:35:00,,2024-05-20 14:55:37,1254192974,21660,2024-05-17 01:35:00,4.85,0.39,8.05,,True,,,,,,
26,26,1053936470,gpt-1079400504|course|3213249,16622,1053936470,22448,Udemy WW,Real Pricetracker,,,PE,2539,Paid course,sale,9.37,pending,0,tabm,,,,,0.75,USD,,,0,,2024-05-16 16:54:41,2024-05-16 17:37:00,,2024-05-20 13:24:18,1254151545,21660,2024-05-16 17:37:00,9.37,0.75,8.01,,True,,,,,,
27,27,1053126075,NYK-207902860-8192360,6528,1053126075,15667,Nykaa Beauty [CPS] IN,Real Pricetracker,,,IN,6,Sale,sale,959.0,pending,0,np,,,,,0.0,INR,,,0,,2024-05-16 17:03:44,2024-05-16 17:03:50,,2024-05-16 17:03:50,1252700119,48521,2024-05-16 17:03:50,959.00,0.00,0.00,708491.0,True,,,,,,
28,28,1053936599,gpt-1079327480|course|3003490,16622,1053936599,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,2024-05-16 14:03:16,2024-05-16 14:27:00,,2024-05-20 13:24:19,1254151689,21660,2024-05-16 14:27:00,9.04,0.72,7.97,,True,,,,,,
29,29,1053936584,gpt-1079327480|course|4915192,16622,1053936584,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,2024-05-16 14:03:16,2024-05-16 14:27:00,,2024-05-20 13:24:19,1254151674,21660,2024-05-16 14:27:00,9.04,0.72,7.97,,True,,,,,,
30,30,1053936572,gpt-1079327480|course|518902,16622,1053936572,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,2024-05-16 14:03:16,2024-05-16 14:27:00,,2024-05-20 13:24:19,1254151660,21660,2024-05-16 14:27:00,9.04,0.72,7.97,,True,,,,,,
31,31,1052959025,11068.5979.1204916,26066,1052959025,27697,Foot Locker US CA,Real Pricetracker,,,US,642,Paid order ,sale,65.0,pending,0,,,,,,1.3,USD,,,0,,2024-05-16 05:07:45,2024-05-16 05:18:27,,2024-05-16 05:37:42,1252385418,35937,2024-05-16 05:18:27,65.00,1.30,2.00,,True,,,,,,
