id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
1053703098,gpt-1078959332|course|2980170,16622,1053703098,22448,Udemy WW,Real Pricetracker,,,TR,654,Paid course,sale,4.02,pending,0,avb,,,,,0.32,USD,,,0,,5/15/2024 18:24,5/15/2024 18:35,,5/19/2024 13:24,1253785448,21660,5/15/2024 18:35,4.02,0.32,7.97,,TRUE,,,,,,
1052838974,15962.5979.64570,28955,1052838974,30956,Pdffiller Many Geos,Real Pricetracker,,,US,2581776,Sale,sale,96,pending,0,tabm,,,,,40,USD,,,0,,4/15/2024 16:01,5/15/2024 13:11,,5/15/2024 13:34,1252249171,63584,5/15/2024 13:11,96,40,40,,FALSE,,,,,,
1053703262,gpt-1078828072|course|951050,16622,1053703262,22448,Udemy WW,Real Pricetracker,,,IN,-1825,Paid course,sale,4.78,pending,0,avb,,,,,0.38,USD,,,0,,5/15/2024 12:57,5/15/2024 12:27,,5/19/2024 13:24,1253785610,21660,5/15/2024 12:27,4.78,0.38,7.95,,TRUE,,,,,,
1052811961,15962.5978.1532361,28955,1052811961,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,769,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216078,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052811965,15962.5978.1532277,28955,1052811965,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,764,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216080,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052811960,15962.5978.1530239,28955,1052811960,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,753,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216077,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052809940,481608417,14275,1052809940,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,AU,88,Conversion,sale,77.39,pending,0,tabm,,,,,2.76,USD,,,0,,5/15/2024 9:39,5/15/2024 9:41,,5/15/2024 10:22,1252213773,18508,5/15/2024 9:41,77.39,2.76,3.57,,TRUE,,,,,,
1053703336,gpt-1078696926|course|1168544,16622,1053703336,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/15/2024 6:40,5/15/2024 6:33,,5/19/2024 13:24,1253785687,21660,5/15/2024 6:33,9.99,0.8,8.01,,TRUE,,,,,,
1053703318,gpt-1078696926|course|980450,16622,1053703318,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/15/2024 6:40,5/15/2024 6:33,,5/19/2024 13:24,1253785667,21660,5/15/2024 6:33,9.99,0.8,8.01,,TRUE,,,,,,
1052707276,481591523,14275,1052707276,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,89,Conversion,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/15/2024 6:13,5/15/2024 6:15,,5/15/2024 7:22,1251976691,18508,5/15/2024 6:15,0,0,0,,TRUE,,,,,,
1053560661,gpt-1078615122|course|533682,16622,1053560661,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,15.76,pending,0,tabm,,,,,1.26,USD,,,0,,5/15/2024 0:38,5/15/2024 0:30,,5/18/2024 17:23,1253530021,21660,5/15/2024 0:30,15.76,1.26,8,,TRUE,,,,,,
1053560359,gpt-1078615122|course|2862626,16622,1053560359,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,5/15/2024 0:38,5/15/2024 0:30,,5/18/2024 17:23,1253529717,21660,5/15/2024 0:30,10.5,0.84,8,,TRUE,,,,,,
1052635434,4405.5978.364867,16070,1052635434,22143,Norton [CPS] WW,xocoupon,,,GB,652,Sale,sale,20.92,pending,0,tabm,,,,,22.4,USD,,,0,,5/14/2024 18:47,5/14/2024 18:58,,5/14/2024 19:22,1251898063,25639,5/14/2024 18:58,20.92,22.4,22.4,,FALSE,,,,,,
1053560260,gpt-1078397418|course|5959558,16622,1053560260,22448,Udemy WW,Real Pricetracker,,,TR,334,Paid course,sale,7.75,pending,0,tabm,,,,,0.62,USD,,,0,,5/14/2024 16:27,5/14/2024 16:33,,5/18/2024 17:23,1253529621,21660,5/14/2024 16:33,7.75,0.62,8,,TRUE,,,,,,
1053560298,gpt-1078377494|course|1830530,16622,1053560298,22448,Udemy WW,Real Pricetracker,,,TR,-527,Paid course,sale,5.27,pending,0,tabm,,,,,0.42,USD,,,0,,5/14/2024 15:35,5/14/2024 15:27,,5/18/2024 17:23,1253529657,21660,5/14/2024 15:27,5.27,0.42,7.97,,TRUE,,,,,,
1052589539,15962.5978.70226,28955,1052589539,30956,Pdffiller Many Geos,Real Pricetracker,,,SA,624,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/14/2024 13:12,5/14/2024 13:23,,5/14/2024 13:27,1251842468,63584,5/14/2024 13:23,0,0,0,,FALSE,,,,,,
1053560756,gpt-1078250176|course|857010,16622,1053560756,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,10.07,pending,0,tabm,,,,,0.8,USD,,,0,,5/14/2024 10:28,5/14/2024 10:07,,5/18/2024 17:23,1253530116,21660,5/14/2024 10:07,10.07,0.8,7.95,,TRUE,,,,,,
1053560636,gpt-1078250176|course|3291970,16622,1053560636,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,7.55,pending,0,tabm,,,,,0.6,USD,,,0,,5/14/2024 10:28,5/14/2024 10:07,,5/18/2024 17:23,1253530000,21660,5/14/2024 10:07,7.55,0.6,7.95,,TRUE,,,,,,
1053321071,gpt-1078091092|course|2069857,16622,1053321071,22448,Udemy WW,Real Pricetracker,,,AR,-294,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,5/13/2024 23:32,5/13/2024 23:28,,5/17/2024 13:23,1253112088,21660,5/13/2024 23:28,13.99,1.12,8.01,,TRUE,,,,,,
1053321084,gpt-1078041122|course|4700236,16622,1053321084,22448,Udemy WW,Real Pricetracker,,,TR,-908,Paid course,sale,4.65,pending,0,tabm,,,,,0.37,USD,,,0,,5/13/2024 20:50,5/13/2024 20:35,,5/17/2024 13:23,1253112100,21660,5/13/2024 20:35,4.65,0.37,7.96,,TRUE,,,,,,
1052364017,15962.5977.380724,28955,1052364017,30956,Pdffiller Many Geos,Real Pricetracker,,,FR,1462,Sale,sale,,pending,0,,,,,,0,USD,,,0,,5/13/2024 19:00,5/13/2024 19:25,,5/13/2024 19:30,1251451093,63584,5/13/2024 19:25,0,0,0,,FALSE,,,,,,
1052364016,15962.5977.366178,28955,1052364016,30956,Pdffiller Many Geos,Real Pricetracker,,,US,1418,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/13/2024 18:45,5/13/2024 19:09,,5/13/2024 19:30,1251451092,63584,5/13/2024 19:09,0,0,0,,FALSE,,,,,,
1053321065,gpt-1077899458|gift|7245716,16622,1053321065,22448,Udemy WW,Real Pricetracker,,,TR,-1332,Paid course,sale,4.03,pending,0,tabm,,,,,0.32,USD,,,0,,5/13/2024 13:56,5/13/2024 13:34,,5/17/2024 13:23,1253112083,21660,5/13/2024 13:34,4.03,0.32,7.95,,TRUE,,,,,,
1053320977,gpt-1077864494|course|3278440,16622,1053320977,22448,Udemy WW,Real Pricetracker,,,ES,-820,Paid course,sale,16.15,pending,0,tabm,,,,,1.29,USD,,,0,,5/13/2024 11:48,5/13/2024 11:35,,5/17/2024 13:23,1253111995,21660,5/13/2024 11:35,16.15,1.29,7.99,,TRUE,,,,,,
1052174292,11068.5976.1218281,26066,1052174292,27697,Foot Locker US CA,Real Pricetracker,,,US,589,Paid order ,sale,43.99,pending,0,,,,,,0.88,USD,,,0,,5/13/2024 7:08,5/13/2024 7:18,,5/13/2024 7:28,1251143728,35937,5/13/2024 7:18,43.99,0.88,2.01,,TRUE,,,,,,
1052174290,11068.5976.1194596,26066,1052174290,27697,Foot Locker US CA,Real Pricetracker,,,US,667,Paid order ,sale,49.99,pending,0,,,,,,1,USD,,,0,,5/13/2024 6:41,5/13/2024 6:52,,5/13/2024 7:28,1251143727,35937,5/13/2024 6:52,49.99,1,2.01,,TRUE,,,,,,
1052174288,11068.5976.1189553,26066,1052174288,27697,Foot Locker US CA,Real Pricetracker,,,US,706,Paid order ,sale,80,pending,0,,,,,,1.6,USD,,,0,,5/13/2024 6:32,5/13/2024 6:44,,5/13/2024 7:28,1251143724,35937,5/13/2024 6:44,80,1.6,2,,TRUE,,,,,,
